Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity																																																										
1924	մտրակել	2		քաղել	մտրակ	Regular	C	E-Class	-ել	To whip, to lash.	Transitive																																																										
1925	մտրակուիլ	4	Passive	բուժուիլ	մտրակ	Regular	C	Passive	-ուիլ		Intransitive																																																										
1926	մրափել	2		քաղել	մրափ	Regular	C	E-Class	-ել	To slumber, to doze, to nap, to snooze, to take a nap.	Intransitive																																																										
1927	մրթմրթալ	6		կարդալ	մրթմրթ	Regular	C	A-Class	-ալ	To purr.	Transitive																																																										
1928	մրկել	2		քաղել	մրկ	Regular	C	E-Class	-ել	To burn, to parch, to scorch, to roast.	Transitive																																																										
1929	մրճահարել	2		քաղել	մրճահար	Regular	C	E-Class	-ել	To hammer; to torment.	Transitive																																																										
1930	մրճոտել	2		քաղել	մրճոտ	Regular	C	E-Class	-ել	To smoke, to blacken with smoke.	Transitive																																																										
1931	մրմնջել	2		քաղել	մրմնջ	Regular	C	E-Class	-ել	To murmur, to mumble, to grumble, to hum.	Transitive																																																										
1932	մրոտել	2		քաղել	մրոտ	Regular	C	E-Class	-ել	To smut, to smutch, to smoke, to blacken with soot.	Transitive																																																										
1933	մրոտուիլ	4	Passive	բուժուիլ	մրոտ	Regular	C	Passive	-ուիլ		Intransitive																																																										
1934	մրրկիլ	4	Basic	խօսիլ	մրրկ	Regular	C	I-Class	-իլ		Intransitive																																																										
1935	մրցակցիլ	4	Basic	խօսիլ	մրցակց	Regular	C	I-Class	-իլ	To compete, to rival, to vie.	Intransitive																																																										
1936	մրցիլ	4	Basic	խօսիլ	մրց	Regular	C	I-Class	-իլ	To compete, to combat, to rival, to strive with, to emulate.	Intransitive																																																										
1937	մքլիլ	4	Basic	խօսիլ	մքլ	Regular	C	I-Class	-իլ	To grow musty, to grow mouldy.	Intransitive																																																										
1938	մքլոտիլ	4	Basic	խօսիլ	մքլոտ	Regular	C	I-Class	-իլ		Intransitive																																																										
1939	մօտենալ	20		նիհարնալ	մօտե	Regular	C	Inchoative	-նալ	To approach, to go near, to come near.	Intransitive																																																										
1940	մօտեցնել	10	Basic	մօտեցնել	մօտե	Regular	C	Causative	-ցնել	To approach, to bring, to near, to draw near.	Transitive																																																										
1941	մօտիլ	4	Basic	խօսիլ	մօտ	Regular	C	I-Class	-իլ	To approach, to go near, to come near.	Intransitive																																																										
1942	յագենալ	20		նիհարնալ	յագե	Regular	C	Inchoative	-նալ	To be satiated, to sate one's self.	Intransitive																																																										
1943	յագեցնել	10	Basic	մօտեցնել	յագե	Regular	C	Causative	-ցնել	To sate, to satiate, to cloy, to surfeit.	Transitive																																																										
1944	յածիլ	4	Basic	խօսիլ	յած	Regular	C	I-Class	-իլ	To go over, to roam, to rove, to stroll, to ramble, to wander, to promenade.	Intransitive																																																										
1945	յաղթահարել	2		քաղել	յաղթահար	Regular	C	E-Class	-ել	To overcome, to vanquish, to subdue, to conquer, to beat, to knock down, to throw to the ground.	Transitive																																																										
1946	յաղթահարուիլ	4	Passive	բուժուիլ	յաղթահար	Regular	C	Passive	-ուիլ		Intransitive																																																										
1947	յաղթանակել	2		քաղել	յաղթանակ	Regular	C	E-Class	-ել	To triumph, to win the victory, to have the advantage, to surpass, to preponderate.	Transitive																																																										
1948	յաղթել	2		քաղել	յաղթ	Regular	C	E-Class	-ել	To overcome, to vanquish, to conquer, to excel, to subdue, to subjugate, to surpass.	Transitive																																																										
1949	յաճախել	2		քաղել	յաճախ	Regular	C	E-Class	-ել	To frequent, to resort to, to haunt, to do often, to visit often, to redouble, to augment.	Transitive																																																										
1950	յամառիլ	4	Basic	խօսիլ	յամառ	Regular	C	I-Class	-իլ	To become stubborn, to be obstinate, to stand to.	Intransitive																																																										
1951	յամենալ	20		նիհարնալ	յամե	Regular	C	Inchoative	-նալ	To delay, to retard, to defer, to put off, to wait for, to stay for.	Intransitive																																																										
1952	յամրանալ	20		նիհարնալ	յամրա	Regular	C	Inchoative	-նալ	To slacken pace, to relax, to diminish.	Intransitive																																																										
1953	յայտարարել	2		քաղել	յայտարար	Regular	C	E-Class	-ել	To declare.	Transitive																																																										
1954	յայտնաբերել	38		բերել	յայտնաբեր	Irregular	C		-ել		Transitive																																																										
1955	յայտնել	2		քաղել	յայտն	Regular	C	E-Class	-ել	To reveal, to declare, to manifest, to expose, to express, to explain, to notify, to signify, to make evident.	Transitive																																																										
1956	յանգեցնել	10	Basic	մօտեցնել	յանգե	Regular	C	Causative	-ցնել	To finish, to terminate, to rhyme, to complete, to end.	Transitive																																																										
1957	յանգիլ	4	Basic	խօսիլ	յանգ	Regular	C	I-Class	-իլ	To end, to come to an end, to terminate, to finish.	Intransitive																																																										
1958	յանդգնիլ	14		մեռնիլ	յանդգ	Irregular	C		-նիլ	To dare, to venture, to adventure, to be bold enough.	Transitive																																																										
