Index	Verb	Class number	Class example	Stem	Regularity	Regular category	Phonological marker	Morphological marker	Comment	
276	բժշկուիլ	4	խօսիլ	բժշկ	Regular	Passive	C-initial	-իլ		
277	բիւրեղանալ	20	նիհարնալ	բիւրեղ	Regular	Inchoative	C-initial	-նալ		
278	բիւրեղացնել	10	մօտեցնել	բիւրեղա	Regular	Causative	C-initial	-ցնել		
279	բխեցնել	10	մօտեցնել	բխե	Regular	Causative	C-initial	-ցնել		
280	բխիլ	4	խօսիլ	բխ	Regular	I-Class	C-initial	-իլ		
281	բնակեցնել	10	մօտեցնել	բնակե	Regular	Causative	C-initial	-ցնել		
282	բնակիլ	4	խօսիլ	բնակ	Regular	I-Class	C-initial	-իլ		
283	բնաջնջել	2	քաղել	բնաջնջ	Regular	E-Class	C-initial	-ել		
284	բնորոշել	2	քաղել	բնորոշ	Regular	E-Class	C-initial	-ել		
285	բնութագրել	2	քաղել	բնութագր	Regular	E-Class	C-initial	-ել		
286	բոլորել	2	քաղել	բոլոր	Regular	E-Class	C-initial	-ել		
287	բոհրել	2	քաղել	բոհր	Regular	E-Class	C-initial	-ել		
288	բողբոջիլ	4	խօսիլ	բողբոջ	Regular	I-Class	C-initial	-իլ		
289	բողոքել	2	քաղել	բողոք	Regular	E-Class	C-initial	-ել		
290	բովանդակել	2	քաղել	բովանդակ	Regular	E-Class	C-initial	-ել		
291	բորբոգիլ	4	խօսիլ	բորբոգ	Regular	I-Class	C-initial	-իլ		
292	բորբոսիլ	4	խօսիլ	բորբոս	Regular	I-Class	C-initial	-իլ		
293	բորբոքել	2	քաղել	բորբոք	Regular	E-Class	C-initial	-ել		
294	բուժել	2	քաղել	բուժ	Regular	E-Class	C-initial	-ել		
295	բուժուիլ	4	խօսիլ	բուժ	Regular	Passive	C-initial	-իլ		
296	բուսնիլ	14	մեռնիլ	բուս	Irregular		C-initial	-նիլ		
297	բուսցնել	10	մօտեցնել	բուս	Regular	Causative	C-initial	-ցնել		
298	բուրել	2	քաղել	բուր	Regular	E-Class	C-initial	-ել		
299	բռել	2	քաղել	բռ	Regular	E-Class	C-initial	-ել		
300	բռնաբարել	2	քաղել	բռնաբար	Regular	E-Class	C-initial	-ել		
301	բռնագրաւել	2	քաղել	բռնագրաւ	Regular	E-Class	C-initial	-ել		
302	բռնադատել	2	քաղել	բռնադատ	Regular	E-Class	C-initial	-ել		
303	բռնանալ	20	նիհարնալ	բռն	Regular	Inchoative	C-initial	-նալ		
304	բռնել	2	քաղել	բռն	Regular	E-Class	C-initial	-ել		
305	բռնկեցնել	10	մօտեցնել	բռնկե	Regular	Causative	C-initial	-ցնել		
306	բռնկիլ	4	խօսիլ	բռնկ	Regular	I-Class	C-initial	-իլ		
307	բռնուիլ	4	խօսիլ	բռն	Regular	Passive	C-initial	-իլ		
308	բռնցքահարել	2	քաղել	բռնցքահար	Regular	E-Class	C-initial	-ել		
309	բրդել	2	քաղել	բրդ	Regular	E-Class	C-initial	-ել		
310	բրել	2	քաղել	բր	Regular	E-Class	C-initial	-ել		
311	բրտանալ	20	նիհարնալ	բրտ	Regular	Inchoative	C-initial	-նալ		
312	բօթել	2	քաղել	բօթ	Regular	E-Class	C-initial	-ել		
313	գազազիլ	4	խօսիլ	գազազ	Regular	I-Class	C-initial	-իլ		
314	գալ	34	գալ	գ	Suppletive			Lexeme		
315	գալարել	2	քաղել	գալար	Regular	E-Class	C-initial	-ել		
316	գահազրկել	2	քաղել	գահազրկ	Regular	E-Class	C-initial	-ել		
317	գահակալել	2	քաղել	գահակալ	Regular	E-Class	C-initial	-ել		
318	գահավիժել	2	քաղել	գահավիժ	Regular	E-Class	C-initial	-ել		
319	գահավիժիլ	4	խօսիլ	գահավիժ	Regular	I-Class	C-initial	-իլ		
320	գաղթել	2	քաղել	գաղթ	Regular	E-Class	C-initial	-ել		
321	գաղջանալ	20	նիհարնալ	գաղջ	Regular	Inchoative	C-initial	-նալ		
322	գաղջացնել	10	մօտեցնել	գաղջա	Regular	Causative	C-initial	-ցնել		
323	գաճել	2	քաղել	գաճ	Regular	E-Class	C-initial	-ել		
324	գամել	2	քաղել	գամ	Regular	E-Class	C-initial	-ել		
325	գամուիլ	4	խօսիլ	գամ	Regular	Passive	C-initial	-իլ		
326	գայթակղել	2	քաղել	գայթակղ	Regular	E-Class	C-initial	-ել		
327	գայթակղեցնել	10	մօտեցնել	գայթակղե	Regular	Causative	C-initial	-ցնել		
328	գայթակղիլ	4	խօսիլ	գայթակղ	Regular	I-Class	C-initial	-իլ		
329	գայթել	2	քաղել	գայթ	Regular	E-Class	C-initial	-ել		
330	գայթիլ	4	խօսիլ	գայթ	Regular	I-Class	C-initial	-իլ		
331	գանակոծել	2	քաղել	գանակոծ	Regular	E-Class	C-initial	-ել		
332	գանահարել	2	քաղել	գանահար	Regular	E-Class	C-initial	-ել		
333	գանգատիլ	4	խօսիլ	գանգատ	Regular	I-Class	C-initial	-իլ		
334	գանել	2	քաղել	գան	Regular	E-Class	C-initial	-ել		
335	գանիլ	4	խօսիլ	գան	Regular	I-Class	C-initial	-իլ		
336	գանձել	2	քաղել	գանձ	Regular	E-Class	C-initial	-ել		
337	գարշիլ	4	խօսիլ	գարշ	Regular	I-Class	C-initial	-իլ		
338	գգուել	2	քաղել	գգու	Regular	E-Class	C-initial	-ել		
339	գեղագրել	2	քաղել	գեղագր	Regular	E-Class	C-initial	-ել		
340	գեղազարդել	2	քաղել	գեղազարդ	Regular	E-Class	C-initial	-ել		
341	գեղգեղել	2	քաղել	գեղգեղ	Regular	E-Class	C-initial	-ել		
342	գեղեցկանալ	20	նիհարնալ	գեղեցկ	Regular	Inchoative	C-initial	-նալ		
343	գեղեցկացնել	10	մօտեցնել	գեղեցկա	Regular	Causative	C-initial	-ցնել		
344	գերագնահատել	2	քաղել	գերագնահատ	Regular	E-Class	C-initial	-ել		
345	գերադասել	2	քաղել	գերադաս	Regular	E-Class	C-initial	-ել		
